COLLAGE,BRANCH,CATEGORIES,RANKING,,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2024 - MOCK ALLOTMENT ROUND ( GENERAL ),,,,,,,,,,,,,,,,,,,,,
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,2AG,475,,1,E001,University of Visvesvaraya College of Engineering,,,,,Bangalore ( PUBLIC UNIV. ),,,,,,,,,,,,,,,,,,,
,,,,,7,E007,Dayananda Sagar College of Engineering,,,,Bangalore,,,,,,,,,,,,,,,,,,,,
,,,,,,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
,,,,,AE Aeronaut.Engg,,13667,--,--,--,--,--,1877,--,--,--,--,--,--,--,--,729,2517G5,--,2488,--,--,--,--,--,
,,,,,AI Artificial Intelligence,,--,--,--,695,--,--,--,--,--,--,--,--,--,--,--,684,--,1124,1640,--,--,--,--,--,
,,,,,AU Automobile,,5133,--,--,2755,--,--,--,--,--,--,--,--,--,--,--,2166,--,--,--,--,--,12912,--,--,
,,,,,BT Bio Technology,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14660,--,--,--,--,--,--,--,--,
,,,,,CB Comp. Sc. and Bus Sys.,,--,--,--,1305,--,--,--,--,--,--,--,--,--,--,6372G5 1085,,--,--,4528,--,--,--,--,--,
,,,,,CD Computer Sc. and Design,,--,--,--,--,--,4081,1754,--,--,2691,--,--,--,--,--,1545,--,2305,--,--,--,--,--,--,
,,,,,CE Civil,,--,--,--,2403,--,--,2597,--,--,--,--,--,1808,--,--,1531,2733,1800,2916,--,3524,4147,--,--,
,,,,,CH Chemical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7692,--,--,--,--,--,10575,--,--,
,,,,,CS Computers,,460,--,--,484,--,1008,618,--,--,583,--,--,495,--,--,439,579,535,1497,--,1962,1930,--,--,
,,,,,CY CS- Cyber Security,,--,--,--,1256,--,--,--,--,--,--,--,2320G5,--,--,--,636,--,--,2423,--,--,--,--,--,
,,,,,DS Comp. Sc. Engg- Data Sc.,,--,--,--,1276,--,--,--,--,--,--,--,--,--,--,--,820,--,1981,2685,--,--,--,--,--,
,,,,,EC Electronics,,924,--,--,765,--,929,1033,--,--,--,--,--,792,--,--,609,--,803,2227,--,3219,1407,2515,--,
,,,,,EE Electrical,,1756,--,--,736,--,2197,--,--,--,--,--,--,1047,--,--,709,--,--,885,2859,--,1804,--,--,
,,,,,EI Elec. Inst. Engg,,--,--,--,3888,--,--,--,--,--,--,--,--,--,--,--,3334,--,--,8339,--,--,--,--,--,
,,,,,ET Elec. Telecommn. Engg.,,--,--,--,3712,--,11352,--,--,--,3565,--,--,3682,6133,--,3056,--,--,15105,--,--,--,--,--,
,,,,,"IC CS-IoT, Cyber Security",,--,--,--,1886,--,--,--,--,--,--,--,--,--,--,--,1692,--,3585,6054,--,--,--,--,--,
,,,,,IE Info.Science,,888,--,--,865,2088,--,--,--,--,--,--,--,708,--,--,655,--,1053,3695,--,7549,3634,--,--,
,,,,,MD Med.Elect.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14056,--,--,--,--,--,--,--,--,
,,,,,ME Mechanical,,--,--,--,1613,--,--,--,--,--,1354,--,--,2036,--,--,1069,1423,1592,1753,--,--,3250,--,--,
,,,,,RI Robotics and AI,,--,--,--,1382,--,--,--,--,--,--,--,--,--,--,--,890,--,1529,4372,--,--,--,--,--,
,,,,,8,E008,Bangalore Institute of Technology,,,Bangalore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
,,,,,AI Artificial Intelligence,,--,--,--,1027,--,--,--,--,--,--,--,--,--,--,--,744,--,1019,2211,--,--,--,--,--,
,,,,,CE Civil,,3422,--,--,1379,5814,2190,--,--,--,--,--,--,1969,--,--,1245,--,--,2220,--,--,3688,--,--,
,,,,,CS Computers,,676,--,--,697,--,1186,660,--,--,644,--,--,602,--,--,596,--,860,2422,--,2618,1826,3572,--,
,,,,,DS Comp. Sc. Engg- Data Sc.,,--,--,--,1652,--,--,--,--,--,--,--,--,--,--,--,1233,--,2010,3078,--,--,--,--,--,
,,,,,EC Electronics,,--,--,--,1145,--,--,--,--,--,842,--,--,883,--,--,805,993,1266,1937,--,3603,1296,--,--,
,,,,,EE Electrical,,--,--,2200,1204,--,--,--,--,--,--,--,--,--,--,--,886,--,--,1188,--,--,--,--,--,
,,,,,EI Elec. Inst. Engg,,--,--,--,5213,--,--,9480,--,--,--,--,--,--,--,--,4156,--,--,11243,--,--,--,--,--,
,,,,,ET Elec. Telecommn. Engg.,,--,--,--,--,--,--,4616,--,--,--,--,--,8750,--,--,4527,--,--,--,--,--,--,--,--,
,,,,,EV EC,Engg(VLSI Design),--,--,--,--,--,--,6253,--,--,--,--,6219,--,--,--,3600,--,--,14240G,--,--,--,--,--,
,,,,,"IC CS-IoT, Cyber Security",,2969G5,--,--,--,--,--,4875,--,--,--,--,--,--,--,--,1170,--,2553,--,--,--,--,--,--,
,,,,,IE Info.Science,,--,--,--,1600,--,--,--,--,--,994,--,--,1386,--,--,941,--,1371,5577,7932,--,9232,--,--,
,,,,,ME Mechanical,,--,--,--,2719,--,--,--,--,--,--,--,--,1942,--,4822,1861,4380,--,2868,--,--,4337,--,--,
,,,,,RI Robotics and AI,,--,--,--,1850,--,--,--,--,--,--,--,--,--,--,--,1676G5,--,2129,6700,--,--,--,--,--,
,,,,,9,E009,P E S University (Ring Road Campus),,,Bangalore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2024 - MOCK ALLOTMENT ROUND ( GENERAL ),,,,,,,,,,,,,,,,,,,,
,,,,,9,E009,P E S University (Ring Road Campus),,,Bangalore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
,,,,,AM B Tech in AM,,--,--,--,539,2594,--,--,--,--,--,--,--,554,--,--,432,--,846,2901,--,--,6205,--,--,
,,,,,BB B Tech in EC,,--,--,--,395,--,--,--,--,--,490,--,--,--,--,431,373,--,388,961,1028,--,2123,--,--,
,,,,,BJ B Tech in EE,,--,--,--,--,--,--,897,--,--,--,--,--,--,--,--,153,--,--,--,--,--,--,--,--,
,,,,,BO B Tech in BT,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5569,--,--,--,--,--,--,--,--,
,,,,,BW B Tech in CS,,382,--,--,308,--,774,367,--,--,208,--,--,260,--,--,185,274,320,1151,--,1589,1500,--,--,
,,,,,DB B Tech in ME,,--,--,--,1706,--,--,--,--,--,--,--,--,--,--,--,531,--,--,--,--,--,--,--,--,
,,,,,11,E011,M V J College of Engineering,,Bangalore,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
,,,,,AE Aeronaut.Engg,,--,--,--,11706,--,--,--,--,--,--,--,--,15620,--,--,6576G5 15661 10513 13780,,,,--,--,--,--,--,
,,,,,AI Artificial Intelligence,,--,--,--,2864,--,--,--,--,--,--,--,--,--,--,--,1733,--,2571,9141,--,--,--,--,--,
,,,,,CD Computer Sc. and Design,,--,--,--,10450,--,--,--,--,--,--,--,--,--,--,--,6239,--,--,--,--,--,--,--,--,
,,,,,CE Civil,,6637,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2562,--,--,--,--,--,--,--,--,
,,,,,CH Chemical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7851,--,--,--,--,--,--,--,--,
,,,,,CS Computers,,3278,--,--,2806,3696,4048,4030,--,--,2895,--,--,2818,--,--,2183,--,2420,4482,--,4941G5 5600,,--,--,
,,,,,DS Comp. Sc. Engg- Data Sc.,,--,--,--,10348,--,--,--,--,--,--,--,6958,--,--,--,4192,--,--,7093,--,--,--,--,--,
,,,,,EB EAT,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11843,--,--,--,--,--,--,--,--,
,,,,,EC Electronics,,--,--,--,2613,--,--,2775,--,--,--,--,--,3077,--,--,2210,--,2367,4815,--,5150,2763,8429,--,
